NID,TITLE,Keyword,SourceSite,Timestamp,Source,Author,Category,Positive,Latitude,Longitude
2462,〈中部〉南投週末有勁 自行車上武嶺、女孩們夜跑,自行車 合歡山 武嶺,LTN,2016-10-02T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1037639,陳鳳麗,旅遊,1,23.993287,120.964687
6367,國道6舊正交流道通車 林明溱喊讚,人潮 北山 交流道,CHT,2016-10-04T00:00:00+08:00,http://www.chinatimes.com/newspapers/20161004000509-260107,廖肇祥,地方,1,23.993287,120.964687
13643,暨大附中開發桌遊 推廣友善土地,汙染 食安 友善 病蟲害 果膠 旱田,CHT,2016-10-07T00:00:00+08:00,http://www.chinatimes.com/newspapers/20161007000534-260107,廖肇祥,地方,1,23.971709,120.94605
22481,〈中部〉雙十連假逢茶博 交管措施出爐,人潮 交通事故 茶業 交通管制,LTN,2016-10-07T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1039357,陳鳳麗,旅遊,NA,23.993287,120.964687
23578,都是颱風害的 山區赫見海鳥,海濱 山區 海鳥,CHT,2016-10-09T00:00:00+08:00,http://www.chinatimes.com/newspapers/20161009000476-260107,沈揮勝,地方,0,23.993287,120.964687
28548,〈中部〉埔里孔子廟裝PM2.5監測器 10炷香就紫爆,煙火 廟會 秋冬季,LTN,2016-10-14T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1041615,廖肇祥,氣象,NA,23.963793,120.969045
33102,國6埔里段傳火燒車  駕駛逃出手部擦傷,交流道 火燒車,CHT,2016-10-17T00:00:00+08:00,http://www.chinatimes.com/realtimenews/20161017004160-260402,中央社,社會,0,23.963793,120.969045
38904,〈中部〉怒屢遭打罵 斧頭砍死友人起訴,死亡 採茶 公共危險罪 凶殘,LTN,2016-10-19T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1043235,沈揮勝,社會,0,23.963793,120.969045
39123,國道6號東行線火燒車意外 駕駛驚險逃生,交流道 火燒車,LTN,2016-10-17T00:00:00+08:00,http://news.ltn.com.tw/news/society/breakingnews/1858589,沈揮勝,社會,0,23.963793,120.969045
43764,〈中部〉觀光兼交流 日高中旅行團來了,旅遊 觀光 小籠包,LTN,2016-10-19T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1043213,廖肇祥,旅遊,1,23.963793,120.969045
44712,深度遊埔里 騎單車採茭白筍遊桃米生態,旅遊 國宴 日月潭 古蹟 茭白筍 合歡山 一日遊 自然生態 青蛙,CHT,2016-10-19T00:00:00+08:00,http://www.chinatimes.com/realtimenews/20161019004015-260402,中央社,旅遊,1,23.963793,120.969045
49535,〈中部〉土角牆吸客 埔里愛蘭里好夯,旅遊 彩繪 特色小吃 ,LTN,2016-10-22T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1044285,謝介裕,旅遊,1,23.963793,120.969045
53507,〈中部〉台日青農交流 料理東西軍上陣,有機 甜點 九州 南瓜 火花 產銷 火龍果 米苔目 ,LTN,2016-10-25T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1045167,謝介裕,美食,1,23.971709,120.94605
55984,〈中部〉搶救社區空品 埔里推「看查拍傳打」,空氣污染 秋冬 季節 廟會,LTN,2016-10-23T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1044582,謝介裕,氣象,NA,23.965098,120.943284
62842,〈中部〉日月潭花火節很公益 捐發票抽潭區住宿,旅遊 住宿 旅館 日月潭 嘉年華 煙火 魚池 茶葉蛋,LTN,2016-10-29T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1046525,佟振國,旅遊,1,23.965098,120.943284
66117,捐發票抽住宿券！ 日月潭花火音樂會很公益,旅遊 住宿 旅館 日月潭 嘉年華 煙火 魚池 茶葉蛋,LTN,2016-10-28T00:00:00+08:00,http://news.ltn.com.tw/news/life/breakingnews/1869047,劉濱銓,旅遊,1,23.965098,120.943284
69602,〈中部〉紓解愛蘭橋交通 縣長建議高架分流,交流道 日月潭 全線通車 南村 牛耳,LTN,2016-11-02T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1047718,佟振國,地方,1,23.965098,120.943284
71978,〈中部〉溫泉季7日登場 飯店、民宿推半價,部落 樂團 打頭陣 日月潭 住房 溫泉 泡湯 壽司 泰雅 北港溪 溫泉飯店,LTN,2016-11-03T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1048104,佟振國,旅遊,1,23.965098,120.943284
72259,〈中部〉中台灣農博後天登場 來玩VR採茭白筍,VR 特產品 農產品 茭白筍 漁村,LTN,2016-11-03T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1048102,佟振國,旅遊,1,23.965098,120.943284
77883,〈中部〉中臺灣農博開幕 4縣市設館秀特產,VR 農產品 慢遊 泡茶 休閒農業 鹿谷,LTN,2016-11-06T00:00:00+08:00,http://news.ltn.com.tw/news/local/paper/1049133,佟振國,旅遊,1,23.965098,120.943284
